lob|type|subtype|brand|short_description|MRP|list_price|discount|savings|speciality|size|sizePack|description|image_url|Country of Origin

Pantry|Atta Flours & Sooji|Atta Whole Wheat|Aashirvaad|Atta - Whole Wheat|499.00|377.00|23%|122.00|Vegetarian|10kg|Pouch|Atta - Whole Wheat||India
Pantry|Atta Flours & Sooji|Atta Whole Wheat|Aashirvaad|Atta - Whole Wheat|270.00|245.00|25.00|25.00|Vegetarian|5kg|Pouch|Atta - Whole Wheat||India
Pantry|Atta Flours & Sooji|Atta Whole Wheat|Aashirvaad|Atta - Whole Wheat|109.00|104.00|5.00|5.00||IndiaVegetarian|2kg|Pouch|Atta - Whole Wheat||India
Pantry|Atta Flours & Sooji|Atta Whole Wheat|Aashirvaad|Atta - Whole Wheat|57.00|54.00|3.00|3.00|Vegetarian|1kg|Pouch|Atta - Whole Wheat||India

Pantry|Atta Flours & Sooji|Atta Whole Wheat|Aashirvaad|Aashirvaad Multigrains Atta|310.00|260.00|16%|50.00|Vegetarian|5kg|Pouch|Aashirvaad Multigrains Atta||India
Pantry|Atta Flours & Sooji|Atta Whole Wheat|Aashirvaad|Aashirvaad Multigrains Atta|64.00|62.00|2.00|2.00|Vegetarian|1kg|Pouch|Aashirvaad Multigrains Atta||India

Pantry|Atta Flours & Sooji|Atta Whole Wheat|Aashirvaad|Aashirvaad Select Atta|300.00|285.00|15.00|15.00|Vegetarian|5kg|Pouch|Aashirvaad Select Atta||India
Pantry|Atta Flours & Sooji|Atta Whole Wheat|Aashirvaad|Aashirvaad Select Atta|62.00|60.75|1.25|1.25|Vegetarian|1kg|Pouch|Aashirvaad Select Atta||India

Pantry|Atta Flours & Sooji|Atta Whole Wheat|Pillsbury|Pillsbury Atta - Chakki Fresh|490.00|392.00|20%|98.00|Vegetarian|10kg|Pouch|Pillsbury Atta - Chakki Fresh||India
Pantry|Atta Flours & Sooji|Atta Whole Wheat|Pillsbury|Pillsbury Atta - Chakki Fresh|270.00|228.00|16%|42.00|Vegetarian|5kg|Pouch|Pillsbury Atta - Chakki Fresh||India
Pantry|Atta Flours & Sooji|Atta Whole Wheat|Pillsbury|Pillsbury Atta - Chakki Fresh|109.00|108.00|1.00|1.00|Vegetarian|2kg|Pouch|Pillsbury Atta - Chakki Fresh||India

Pantry|Atta Flours & Sooji|Atta Whole Wheat|Pillsbury|Pillsbury Atta - Multigrain|310.00|285.00|25.00|25.00|Vegetarian|5kg|Pouch|Pillsbury Atta - Multigrain||India
Pantry|Atta Flours & Sooji|Atta Whole Wheat|Pillsbury|Pillsbury Atta - Multigrain|64.00|63.36|1%|0.64|Vegetarian|1kg|Pouch|Pillsbury Atta - Multigrain||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Tata|Tata Sampann Besan - 100% Chana Dal|125.00|107.00|14%|18.00|Vegetarian|1kg|Pouch|Tata Sampann Besan - 100% Chana Dal||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Tata|Tata Sampann Fine Besan - 100% Chana Dal|69.00|54.00|22%|15.00|Vegetarian|500gms|Pouch|Tata Sampann Fine Besan - 100% Chana Dal||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Tata|Tata Sampann Chilla Mix - Moong Dal|70.00|52.50|25%|17.50|Vegetarian|180gms|Tata Sampann Chilla Mix - Moong Dal||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Tata|Tata Sampann Khichdi Mix - Multigrain|70.00|52.50|25%|1750|Vegetarian|200gms|Tata Sampann Khichdi Mix - Multigrain||India

Pantry|Atta Flours & Sooji|Atta Whole Wheat|Annapurna|Annapurna Farm Fresh Whole Wheat Atta|110.00|110.00|||Vegetarian|2kg|Pouch|Annapurna Farm Fresh Whole Wheat Atta||India
Pantry|Atta Flours & Sooji|Atta Whole Wheat|Annapurna|Annapurna Farm Fresh Whole Wheat Atta|55.00|55.00|||Vegetarian|1kg|Pouch|Annapurna Farm Fresh Whole Wheat Atta||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Weikfield|Weikfield Cornflour|80.00|78.40|2%|1.60|Vegetarian|500gms|carton||India
Pantry|Atta Flours & Sooji|Rice & Other Flours|Weikfield|Weikfield Cornflour|27.00|25.65|5%|1.35|Vegetarian|100gms|carton||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Maida|120.00|70.00|42%|50.00|Vegetarian|2kg|Pouch|Anmol Supreme Maida||India
Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Maida|60.00|36.00|40%|24.00|Vegetarian|1kg|Pouch|Anmol Supreme Maida||India
Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Maida|30.00|22.00|27%|8.00|Vegetarian|500gms|Pouch|Anmol Supreme Maida||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol Supreme Sooji/Semolina/Bombay Rava|60.00|42.00|30%|18.00|Vegetarian|1kg|Pouch|Anmol Supreme Supreme Sooji/Semolina/Bombay Rava||India
Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Sooji/Semolina/Bombay Rava|30.00|24.00|20%|6.00|Vegetarian|500gms|Pouch|Anmol Supreme Sooji/Semolina/Bombay Rava||India

Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Roasted Sooji/Rava|80.00|56.00|30%|24.00|Vegetarian|1kg|Pouch|Anmol Supreme Roasted Sooji/Rava||India
Pantry|Atta Flours & Sooji|Rice & Other Flours|Anmol|Anmol Supreme Roasted Sooji/Rava|40.00|30.00|25%|10.00|Vegetarian|500gms|Pouch|Anmol Supreme Roasted Sooji/Rava||India

Pantry|Atta Flours & Sooji|Atta Whole Wheat|Anmol|Anmol Supreme Whole Wheat Atta|450.00|349.00|22%|101.00|Vegetarian|10kg|Pouch|Anmol Supreme Whole Wheat Atta||India
